Ensembl Gene ID	Associated Gene Name	Descriptio
AT3G61890	ATHB-12	homeobox-leucine zipper protein ATHB-12
AT3G16890	PPR40	pentatricopeptide repeat-containing protein
AT5G34860	AT5G34860	transposable element gene
AT2G05670	AT2G05670
AT2G38365	AT2G38365	uncharacterized protein
AT2G01913	AT2G01913	uncharacterized protein
AT4G04525	AT4G04525	transposable element gene
AT1G49200	AT1G49200	RING-H2 finger protein ATL75
AT1G45090	AT1G45090	transposable element gene
AT1G53035	AT1G53035	uncharacterized protein
AT3G60020	ASK5	S-phase kinase-associated protein 1
AT5G55240	ATPXG2	peroxygenase 2
AT5G65620	AT5G65620	Zincin-like metalloproteases family protein
AT1G70540	EDA24	plant invertase/pectin methylesterase inhibitor domain-containing protein
AT2G02570	AT2G02570	survival of motor neuron-related-splicing factor 30
AT2G35742	AT2G35742	snoRNA
AT5G32017	AT5G32017	pre-tRNA
AT1G58300	HO4	heme oxygenase 4
AT5G61320	CYP89A3	cytochrome P450, family 89, subfamily A, polypeptide 3
AT4G26270	PFK3	6-phosphofructokinase 3
AT5G49380	AT5G49380	uncharacterized protein
AT2G03800	GEK1	D-aminoacyl-tRNA deacylase
AT2G26890	GRV2	DNAJ heat shock N-terminal domain-containing protein
AT2G06980	AT2G06980	transposable element gene
AT3G21300	AT3G21300	RNA methyltransferase family protein
AT4G00250	AT4G00250	DNA-binding storekeeper protein-related transcriptional regulator
AT3G11285	AT3G11285	pre-tRNA
AT3G59100	ATGSL11	callose synthase
AT1G55820	AT1G55820	uncharacterized protein
AT3G33230	AT3G33230	transposable element gene
AT4G07350	AT4G07350	uncharacterized protein
AT4G06520	AT4G06520	transposable element gene
AT1G33670	AT1G33670	leucine-rich repeat protein
AT1G68310	AE7	uncharacterized protein
AT1G45225	AT1G45225	Encodes a ECA1 gametogenesis related family protein
AT4G27730	ATOPT6	oligopeptide transporter 6
AT4G06629	AT4G06629	transposable element gene
AT3G62110	AT3G62110	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein
AT3G06340	AT3G06340	DnaJ domain-containing protein
AT3G26600	ARO4	armadillo repeat only 4 protein
AT5G11940	AT5G11940	Subtilase family protein
AT5G64270	AT5G64270	putative splicing factor
AT5G64640	AT5G64640	Putative pectinesterase/pectinesterase inhibitor 64
AT1G28260	AT1G28260	Telomerase activating protein Est1
AT2G37530	AT2G37530	uncharacterized protein
AT2G46740	AT2G46740	D-arabinono-1,4-lactone oxidase-like protein
AT2G17260	ATGLR2	glutamate receptor 3.1
AT5G42480	ARC6	chaperone DnaJ-domain containing protein
AT5G48680	AT5G48680	Sterile alpha motif (SAM) domain-containing protein
AT4G18340	AT4G18340	glycosyl hydrolase family 17 protein
AT1G66770	SWEET6	nodulin MtN3-like protein
AT5G11240	AT5G11240	transducin/WD40 domain-containing protein
AT1G12210	RFL1	disease resistance protein RFL1
AT4G03640	AT4G03640	transposable element gene
AT1G09730	AT1G09730	putative ubiquitin-like-specific protease 2B
AT3G17860	TIFY6B	protein TIFY 6B
AT1G05894	AT1G05894	uncharacterized protein
AT5G28605	AT5G28605	transposable element gene
AT5G06430	AT5G06430	thioredoxin-related protein
AT3G07140	AT3G07140	GPI transamidase component Gpi16 subunit-like protein
AT3G61720	AT3G61720	Ca2+dependent plant phosphoribosyltransferase family protein
AT2G26020	PDF1.2b	putative defensin-like protein 15
AT4G06602	AT4G06602	transposable element gene
AT5G44572	AT5G44572	uncharacterized protein
AT5G39930	CLPS5	CLP1-like protein 5
AT5G37340	AT5G37340	ZPR1 zinc-finger domain protein
AT2G07630	AT2G07630	transposable element gene
AT4G04293	AT4G04293	transposable element gene
AT5G23690	AT5G23690	Polynucleotide adenylyltransferase family protein
AT5G08100	AT5G08100	Isoaspartyl peptidase/L-asparaginase 1 subunit beta
AT4G13730	AT4G13730	RabGAP/TBC domain-containing protein
AT1G25540	PFT1	phytochrome and flowering time regulatory protein 1
AT1G15110	AT1G15110	phosphatidylserine synthase 2
AT2G11780	AT2G11780	transposable element gene
AT3G56750	AT3G56750	uncharacterized protein
AT3G24210	AT3G24210	ankyrin repeat-containing protein
AT3G53403	AT3G53403	Pseudogene of AT3G53410zinc finger (C3HC4-type RING finger) family protein
AT5G10230	ANNAT7	annexin D7
AT2G17990	AT2G17990	uncharacterized protein
AT5G52250	RUP1	transducin/WD40 domain-containing protein
AT5G57740	XBAT32	E3 ubiquitin-protein ligase XBAT32
AT1G55265	AT1G55265	uncharacterized protein
AT3G46370	AT3G46370	leucine-rich repeat protein kinase-like protein
AT3G42792	AT3G42792	transposable element gene
AT4G05613	AT4G05613	transposable element gene
AT1G13060	PBE1	proteasome subunit beta type-5-A
AT5G58650	PSY1	Tyrosine-sulfated glycopeptide 1
AT4G06479	AT4G06479	nucleic acid binding / zinc ion binding protein
AT4G12030	BAT5	bile acid transporter 5
AT1G53870	AT1G53870	LURP-one-related 3 protein
AT3G59840	AT3G59840	uncharacterized protein
AT5G44140	ATPHB7	prohibitin 7
AT4G12830	AT4G12830	hydrolase, alpha/beta fold family protein
AT2G47500	AT2G47500	putative kinesin heavy chain
AT5G16680	AT5G16680	RING/FYVE/PHD zinc finger-containing protein
AT5G13820	HPPBF-1	Telomere repeat-binding protein 4
AT1G11684	AT1G11684	uncharacterized protein
AT2G21420	AT2G21420	IBR domain containing protein
AT4G02220	AT4G02220	MYND type zinc finger and programmed cell death 2 C-terminal domain-containing protein
AT5G02930	AT5G02930	F-box/LRR-repeat protein
AT3G52285	AT3G52285	pre-tRNA
AT1G18382	AT1G18382	other RNA
AT5G28671	AT5G28671
AT2G22807	AT2G22807	putative defensin-like protein 190
AT3G32135	AT3G32135	transposable element gene
AT1G57370	AT1G57370	pre-tRNA
AT1G66520	pde194	methionyl-tRNA formyltransferase
AT3G44798	AT3G44798	other RNA
AT4G26590	ATOPT5	oligopeptide transporter 5
AT3G61080	AT3G61080	protein kinase-like protein
AT5G52970	AT5G52970	thylakoid lumenal protein 2
AT3G33166	AT3G33166	transposable element gene
AT4G26920	AT4G26920	StAR-related lipid-transfer protein
AT4G27640	AT4G27640	armadillo/beta-catenin-like repeat-containing protein
AT4G23000	AT4G23000	hydrolase/ protein serine/threonine phosphatase
AT1G12660	AT1G12660	uncharacterized protein
AT1G48610	AT1G48610	AT hook motif-containing protein
AT1G17380	JAZ5	protein TIFY 11A
AT1G36732	CPuORF19	conserved peptide upstream open reading frame 19
AT5G47980	AT5G47980	BAHD acyltransferase
AT4G24990	ATGP4	membrane-anchored ubiquitin-fold protein 3
AT2G41490	GPT	UDP-glcnac-adolichol phosphate glcnac-1-p-transferase
AT2G42620	ORE9	F-box protein ORE9
AT1G60610	AT1G60610	putative S-ribonuclease binding protein SBP1
AT5G09345	AT5G09345	pre-tRNA
AT5G51340	AT5G51340	cohesin-load domain-containing protein
AT1G23940	AT1G23940	armadillo/beta-catenin-like repeat-containing protein
AT3G25820	TPS-CIN	1,8-cineole synthase
AT2G19980	AT2G19980	allergen V5/Tpx-1-related family protein
AT1G61760	AT1G61760	late embryogenesis abundant hydroxyproline-rich glycoprotein
AT1G24290	AT1G24290	AAA-type ATPase-like protein
AT2G21040	AT2G21040	calcium-dependent lipid-binding domain
AT2G40660	AT2G40660	OB-fold nucleic acid binding domain-containing protein
AT4G06554	AT4G06554	transposable element gene
AT3G48170	ALDH10A9	betaine aldehyde dehydrogenase 2
AT1G43670	AT1G43670	fructose-1,6-bisphosphatase, cytosolic
AT3G16690	SWEET16	nodulin MtN3-like protein
AT4G17820	AT4G17820
AT2G14285	AT2G14285	Small nuclear ribonucleoprotein family protein
AT1G31420	FEI1	leucine-rich repeat protein kinase-like protein
AT2G22370	AT2G22370	uncharacterized protein
AT1G49930	AT1G49930	uncharacterized protein
AT1G49245	AT1G49245	Prefoldin chaperone subunit family protein
AT3G11390	AT3G11390	cysteine/histidine-rich C1 domain-containing protein
AT5G48290	AT5G48290	heavy metal transport/detoxification domain-containing protein
AT5G35698	AT5G35698	Plant thionin family protein
AT1G02250	anac005	NAC domain-containing protein 5
AT2G44140	AT2G44140	cysteine protease ATG4a
AT4G29400	AT4G29400	uncharacterized protein
AT5G63570	GSA1	glutamate-1-semialdehyde-2,1-aminomutase
AT3G18773	AT3G18773	RING-H2 finger protein ATL77
AT3G42626	AT3G42626	transposable element gene
ATCG00740	RPOA	RNA polymerase subunit alpha
AT3G07640	AT3G07640	uncharacterized protein
AT5G10070	AT5G10070	RNase L inhibitor protein-like protein
AT1G76430	PHT1;9	putative inorganic phosphate transporter 1-9
AT3G47240	AT3G47240	transposable element gene
AT1G62310	AT1G62310	transcription factor jumonji domain-containing protein
AT5G41320	AT5G41320	uncharacterized protein
AT1G67110	CYP735A2	cytokinin trans-hydroxylase
AT2G21830	AT2G21830	Cysteine/Histidine-rich C1 domain family protein
AT3G18280	AT3G18280	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
AT1G63820	AT1G63820	CCT motif family protein
AT5G35540	AT5G35540	uncharacterized protein
AT1G02780	emb2386	60S ribosomal protein L19-1
AT5G14080	AT5G14080	pentatricopeptide repeat-containing protein
AT1G19340	AT1G19340	methyltransferase MT-A70-like protein
AT1G34390	ARF22	auxin response factor 22
AT5G39000	AT5G39000	putative receptor-like protein kinase
AT4G24100	AT4G24100	protein kinase family protein
AT4G35310	CPK5	calmodulin-domain protein kinase 5
AT5G57420	IAA33	auxin-responsive protein IAA33
AT2G15740	AT2G15740	C2H2-like zinc finger protein
AT1G33800	AT1G33800	uncharacterized protein
ATCG00370	TRNS.3	tRNA-Ser
AT4G01040	AT4G01040	glycosyl hydrolase family 18 protein
AT5G05620	TUBG2	tubulin gamma-2 chain
AT2G16800	AT2G16800	high-affinity nickel-transport-like protein
AT5G42400	ATXR7	histone-lysine N-methyltransferase SETD1
AT2G44060	AT2G44060	Late embryogenesis abundant protein, group 2
AT4G32330	AT4G32330	TPX2 (targeting protein for Xklp2) protein family
AT1G12350	ATCOAB	phosphopantothenate--cysteine ligase 1
AT3G14075	AT3G14075	lipase class 3 family protein
AT1G20430	AT1G20430	uncharacterized protein
AT5G41992	CPuORF58	conserved peptide upstream open reading frame 58
AT5G28180	AT5G28180	putative F-box/kelch-repeat protein
AT5G12960	AT5G12960	uncharacterized protein
AT2G12880	AT2G12880	CCHC-type zinc knuckle protein
AT5G25625	AT5G25625	pre-tRNA
AT5G58950	AT5G58950	protein kinase family protein
AT4G33810	AT4G33810	glycosyl hydrolase family 10 protein
AT1G04650	AT1G04650	uncharacterized protein
AT1G17250	AtRLP3	receptor like protein 3
AT3G14185	AT3G14185	other RNA
AT1G78150	AT1G78150	uncharacterized protein
AT3G50490	AT3G50490	transposable element gene
AT5G42300	UBL5	ubiquitin-like protein 5
AT5G60320	AT5G60320	concanavalin A-like lectin kinase-like protein
AT1G13020	EIF4B2	eukaryotic initiation factor 4B2
AT5G22500	FAR1	fatty acyl-CoA reductase 1
AT5G28270	AT5G28270
AT3G62590	AT3G62590	lipase class 3 family protein
AT1G75200	AT1G75200	tRNA wybutosine-synthesizing protein 1-like protein
AT5G25422	AT5G25422	uncharacterized protein
AT1G14650	AT1G14650	splicing factor 3A subunit 1
AT2G02810	ATUTR1	UDP-galactose transporter 1
AT2G02170	AT2G02170	Remorin family protein
AT3G43826	AT3G43826	pseudogene
AT1G38167	AT1G38167	transposable element gene
AT5G35720	AT5G35720	transposable element gene
AT4G05400	AT4G05400	copper ion binding protein
AT4G00340	RLK4	receptor-like protein kinase 4
AT4G12520	AT4G12520	bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT1G66690	AT1G66690	AtPP-like protein
AT2G18070	AT2G18070	uncharacterized protein
AT1G32070	NSI	acetyltransferase NSI
AT5G56910	AT5G56910	proteinase inhibitor I25, cystatin, conserved region-containing protein
AT1G27550	AT1G27550	F-box family protein
AT3G22230	AT3G22230	60S ribosomal protein L27-2
AT1G60130	AT1G60130	jacalin-like lectin domain-containing protein
AT1G76980	AT1G76980	uncharacterized protein
AT5G19670	AT5G19670	Exostosin family protein
AT3G57157	AT3G57157	other RNA
AT3G57040	ARR9	two-component response regulator ARR9
AT5G25890	IAA28	auxin-responsive protein IAA28
AT1G49250	AT1G49250	ATP-dependent DNA ligase
AT3G18380	AT3G18380	sequence-specific DNA binding transcription factor
AT5G32280	AT5G32280
AT5G37390	AT5G37390	transposable element gene
AT3G05810	AT3G05810	uncharacterized protein
AT1G57110	AT1G57110	pre-tRNA
AT4G27860	AT4G27860	vacuolar iron transporter-like protein
AT3G22350	AT3G22350	F-box and associated interaction domain-containing protein
AT2G46610	RS31a	RNA recognition motif-containing protein
AT5G14480	AT5G14480	beta-1,4-mannosyl-glycoprotein
AT2G38740	AT2G38740	haloacid dehalogenase-like hydrolase domain-containing protein
AT1G70790	AT1G70790	calcium-dependent lipid-binding domain-containing protein
AT5G14600	AT5G14600	tRNA (adenine-N1-)-methyltransferase
AT1G69850	ATNRT1:2	nitrate transporter 1:2
AT5G58800	AT5G58800	quinone reductase-like protein
AT3G13525	AT3G13525	snoRNA
AT5G32726	AT5G32726
AT1G08125	AT1G08125	S-adenosylmethionine-dependent methyltransferase domain-containing protein
AT1G61650	AT1G61650	pseudogene
AT4G07334	AT4G07334	transposable element gene
AT5G56452	AT5G56452	FBD domain-containing protein
AT5G32495	AT5G32495
AT5G17560	AT5G17560	BolA-like protein
AT1G53543	AT1G53543	uncharacterized protein
AT5G05290	EXPA2	expansin A2
AT3G42466	AT3G42466	Pseudogene of AT2G26730leucine-rich repeat transmembrane protein kinase, putative
AT1G28410	AT1G28410	uncharacterized protein
AT1G01220	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT2G26680	AT2G26680	uncharacterized protein
AT1G71120	GLIP6	GDSL esterase/lipase 6
AT1G42888	AT1G42888	transposable element gene
AT3G26890	AT3G26890	uncharacterized protein
AT1G70130	AT1G70130	concanavalin A-like lectin protein kinase
AT5G45040	AT5G45040	cytochrome c6
AT2G39520	AT2G39520	uncharacterized protein
AT3G42140	AT3G42140	zinc ion binding / nucleic acid binding protein
AT4G26880	AT4G26880	Stigma-specific Stig1 family protein
AT1G43171	AT1G43171	uncharacterized protein
AT1G60000	AT1G60000	RNA recognition motif-containing protein
AT4G32490	AtENODL4	early nodulin-like protein 4
AT2G11522	AT2G11522	uncharacterized protein
AT4G05470	AT4G05470	F-box family protein (FBL21)
AT2G05995	AT2G05995	other RNA
AT5G32169	AT5G32169
AT1G47770	AT1G47770	Beta-galactosidase related protein
AT3G50980	XERO1	dehydrin xero 1
AT2G07365	AT2G07365	transposable element gene
AT4G34900	XDH2	xanthine dehydrogenase 2
AT4G10950	AT4G10950	GDSL-motif lipase/hydrolase family protein
AT3G48344	AT3G48344	uncharacterized protein
AT2G16370	THY-1	thymidylate synthase
AT5G61910	AT5G61910	DCD (Development and Cell Death) domain-containing protein
AT1G19835	AT1G19835	filament-like plant protein 4
AT1G69526	AT1G69526	S-adenosylmethionine-dependent methyltransferase domain-containing protein
AT5G08390	AT5G08390	katanin p80 subunit-like protein
AT3G42520	AT3G42520
AT1G12140	FMO GS-OX5	flavin-monooxygenase glucosinolate S-oxygenase 5
AT4G13955	AT4G13955	putative defensin-like protein 88
AT2G19230	AT2G19230	Leucine-rich repeat transmembrane protein kinase protein
AT2G39970	AT2G39970	solute carrier family 25 member 17
AT2G13130	AT2G13130	pseudogene
AT5G62380	NAC101	NAC-domain protein 101
AT5G53680	AT5G53680	RNA recognition motif-containing protein
ATCG00030	TRNK	Lysine tRNA
AT1G35310	MLP168	MLP-like protein 168
AT4G06748	AT4G06748
AT1G30570	HERK2	hercules receptor kinase 2
AT2G43445	AT2G43445	F-box/kelch-repeat protein
AT4G10490	AT4G10490	oxidoreductase, 2OG-Fe(II) oxygenase family protein
AT5G44960	AT5G44960	FBD domain-containing protein
ATMG01320	NAD2	NADH dehydrogenase 2B
AT5G16120	AT5G16120	hydrolase, alpha/beta fold family protein
AT1G59833	AT1G59833	putative defensin-like protein 63
AT2G40500	AT2G40500	protein kinase-like protein
AT2G34720	NF-YA4	nuclear transcription factor Y subunit A-4
AT1G61010	CPSF73-I	cleavage and polyadenylation specificity factor subunit 3-I
AT3G28840	AT3G28840	uncharacterized protein
AT1G22510	AT1G22510	C3HC4-type RING finger protein
AT3G30846	AT3G30846
AT5G45020	AT5G45020	putative glutathione S-transferase
AT1G01355	AT1G01355	Putative endonuclease or glycosyl hydrolase
AT1G35150	AT1G35150	General transcription factor 2-related zinc finger protein
AT1G31790	AT1G31790	pentatricopeptide repeat-containing protein
AT2G26860	AT2G26860	FBD-associated F-box protein
AT4G04580	AT4G04580	myb family transcription factor
AT1G59675	AT1G59675	F-box protein
AT5G64440	AtFAAH	fatty acid amide hydrolase
AT3G22990	LFR	leaf and flower related protein
AT2G04000	AT2G04000	transposable element gene
AT3G45310	AT3G45310	thiol protease aleurain-like protein
AT4G23940	AT4G23940	FtsH extracellular protease
AT4G17390	AT4G17390	60S ribosomal protein L15-2
AT2G13690	AT2G13690	putative PRLI-interacting factor
AT2G33590	AT2G33590	Rossmann-fold NAD(P)-binding domain-containing protein
AT1G11970	AT1G11970	ubiquitin-like protein
AT1G60760	AT1G60760	plant invertase/pectin methylesterase inhibitor domain-containing protein
AT3G01960	AT3G01960	uncharacterized protein
AT2G03410	AT2G03410	MO25-like protein
AT5G32522	AT5G32522	pseudogene
AT5G47120	ATBI-1	BAX inhibitor 1
AT1G10170	ATNFXL1	NF-X1-type zinc finger protein NFXL1
AT3G23420	AT3G23420	F-box and associated interaction domain-containing protein
AT5G39140	AT5G39140	uncharacterized protein
AT3G43060	AT3G43060	transposable element gene
AT1G20990	AT1G20990	DC1 domain-containing protein
AT3G59660	AT3G59660	C2 domain and GRAM domain-containing protein
AT5G67340	AT5G67340	U-box domain-containing protein 2
AT2G23100	AT2G23100	cysteine/histidine-rich C1 domain-containing protein
AT5G28480	AT5G28480	transposable element gene
AT2G45990	AT2G45990	uncharacterized protein
AT1G09995	AT1G09995	DNA repair DEAD helicase RAD3/XP-D subfamily protein
AT5G07240	IQD24	IQ-domain 24 protein
AT2G47270	UPB1	transcription factor bHLH151
AT1G20890	AT1G20890	uncharacterized protein
AT2G10602	AT2G10602	uncharacterized protein
AT3G03720	CAT4	cationic amino acid transporter 4
AT5G34867	AT5G34867	transposable element gene
AT1G21020	AT1G21020	transposable element gene
AT1G04990	AT1G04990	zinc finger CCCH domain-containing protein 3
AT5G48575	AT5G48575	uncharacterized protein
AT3G27980	AT3G27980	putative pectinesterase 30
AT4G27060	TOR1	Microtubule-associated protein TORTIFOLIA1
ATMG00580	NAD4	NADH dehydrogenase subunit 4
AT2G24870	AT2G24870	self-incompatibility S1 family protein
AT3G12520	SULTR4;2	putative sulfate transporter 4.2
AT4G26310	AT4G26310	elongation factor P (EF-P) family protein
AT4G21363	AT4G21363	transposable element gene
AT3G48210	AT3G48210	kinetochore protein Spc25
AT5G15210	ATHB30	homeobox protein 30
AT5G46470	RPS6	TIR-NBS-LRR class disease resistance protein
AT4G15440	HPL1	hydroperoxide lyase 1
AT4G27240	AT4G27240	C2H2 type zinc finger protein
AT3G19580	AZF2	zinc-finger protein 2
AT1G02660	AT1G02660	alpha/beta-hydrolase domain-containing protein
AT3G04260	PTAC3	plastid transcriptionally active 3
AT3G01650	RGLG1	E3 ubiquitin-protein ligase RGLG1
AT5G40850	UPM1	urophorphyrin methylase 1
AT2G44920	AT2G44920	thylakoid lumenal protein 1
AT4G21420	AT4G21420
AT5G34431	AT5G34431	transposable element gene
AT3G26460	AT3G26460	SRPBCC ligand-binding domain-containing protein
AT3G07180	AT3G07180	GPI transamidase component PIG-S-related protein
AT5G07310	AT5G07310	ethylene-responsive transcription factor ERF115
AT4G02360	AT4G02360	uncharacterized protein
AT1G53580	GLY3	glyoxalase II 3
AT1G78590	NADK3	NAD(H) kinase 3
AT4G31100	AT4G31100	wall-associated receptor kinase-like 17
AT1G15100	RHA2A	E3 ubiquitin-protein ligase RHA2A
AT1G48440	AT1G48440	protein B-cell receptor-associated 31-like protein
AT1G28465	AT1G28465	transposable element gene
AT1G13630	AT1G13630	PPR repeat-containing protein
AT1G40118	AT1G40118	transposable element gene
AT1G12770	EMB1586	DEAD-box ATP-dependent RNA helicase 47
AT5G28642	AT5G28642	uncharacterized protein
AT2G31990	AT2G31990	exostosin-like protein
AT1G06150	EMB1444	uncharacterized basic helix-loop-helix protein
AT5G16080	AtCXE17	carboxyesterase 17
AT3G16010	AT3G16010	pentatricopeptide repeat-containing protein
AT4G08104	AT4G08104	transposable element gene
AT4G21340	B70	transcription factor bHLH103
AT5G39155	AT5G39155
AT4G11710	AT4G11710	transposable element gene
AT3G56370	AT3G56370	leucine-rich repeat protein kinase-like protein
AT1G07280	AT1G07280	tetratricopeptide repeat-containing protein-like protein
AT5G11890	AT5G11890	uncharacterized protein
AT5G35796	AT5G35796	pseudogene
AT3G27520	AT3G27520	uncharacterized protein
AT5G16940	AT5G16940	carbon-sulfur lyase
AT4G18100	AT4G18100	60S ribosomal protein L32-1
AT2G46190	AT2G46190	glycoprotein family protein
AT3G28130	AT3G28130	nodulin MtN21 /EamA-like transporter protein
AT5G36120	CCB3	cofactor assembly, complex C (B6F)
AT3G59690	IQD13	protein IQ-domain 13
AT3G15670	AT3G15670	late embryogenesis abundant domain-containing protein
AT2G17620	CYCB2;1	cyclin-B2-1
AT3G02060	AT3G02060	putative DEAD/DEAH box helicase
AT3G50825	AT3G50825	snoRNA
AT5G17930	AT5G17930	MIF4G domain and MA3 domain-containing protein
AT5G67490	AT5G67490	uncharacterized protein
AT2G31570	ATGPX2	glutathione peroxidase
AT3G04690	ANX1	receptor-like protein kinase ANXUR1
AT1G10610	AT1G10610	transcription factor bHLH90
AT3G42680	AT3G42680	transposable element gene
AT5G47480	AT5G47480	RGPR-related protein
AT5G55056	AT5G55056	uncharacterized protein
AT3G18650	AGL103	protein agamous-like 103
AT1G34795	AT1G34795	Plant thionin family protein
AT5G09700	AT5G09700	Glycosyl hydrolase family protein
AT3G33002	AT3G33002	pseudogene
AT3G45935	AT3G45935	pre-tRNA
ATMG00920	ORF215B	hypothetical protein
AT2G15660	AGL95	protein agamous-like 95
AT3G47550	AT3G47550	RING/FYVE/PHD zinc finger-containing protein
AT4G03750	AT4G03750	transposable element gene
AT5G01380	AT5G01380	transcription factor
AT5G28545	AT5G28545	transposable element gene
AT3G03320	AT3G03320	RNA-binding ASCH domain protein
AT5G45810	CIPK19	CBL-interacting serine/threonine-protein kinase 19
AT4G03770	AT4G03770	transposable element gene
AT3G07670	AT3G07670	rubisco methyltransferase-like protein
AT3G43442	AT3G43442	transposable element gene
AT4G08490	AT4G08490	transposable element gene
AT2G22750	AT2G22750	transcription factor bHLH18
AT3G46510	PUB13	U-box domain-containing protein 13
AT5G55170	SUM3	small ubiquitin-related modifier 3
AT2G26240	AT2G26240	Transmembrane proteins 14C
AT2G36792	AT2G36792	other RNA
AT1G28980	AT1G28980	pre-tRNA
AT1G31800	CYP97A3	cytochrome P450, family 97, subfamily A, polypeptide 3
AT5G44760	AT5G44760	C2 domain-containing protein
AT2G14790	AT2G14790
AT5G47650	NUDT2	nudix hydrolase 2
AT1G32180	ATCSLD6	putative cellulose synthase-like protein D6
AT1G60490	PI3K	phosphatidylinositol 3-kinase VPS34
AT1G70520	CRK2	cysteine-rich receptor-like protein kinase 2
AT5G27967	AT5G27967	uncharacterized protein
AT5G46950	AT5G46950	plant invertase/pectin methylesterase inhibitor domain-containing protein
AT1G30030	AT1G30030	transposable element gene
AT3G21351	AT3G21351	uncharacterized protein
AT1G78640	AT1G78640	uncharacterized protein
AT5G40030	AT5G40030	protein kinase family protein
AT1G01140	CIPK9	CBL-interacting serine/threonine-protein kinase 9
AT3G43070	AT3G43070	transposable element gene
AT1G18360	AT1G18360	alpha/beta-hydrolase domain-containing protein
AT5G49830	EXO84B	exocyst complex component 84B
AT2G01590	CRR3	chlororespiratory reduction 3
AT3G31540	AT3G31540	transposable element gene
AT1G51190	PLT2	AP2-like ethylene-responsive transcription factor PLT2
AT3G55000	TON1A	tonneau 1
AT5G47200	ATRABD2B	RAB GTPase-1A
AT3G42252	AT3G42252	transposable element gene
AT3G31940	AT3G31940	transposable element gene
ATCG00670	CLPP1	plastid-encoded CLP P
AT5G35146	AT5G35146
AT1G77190	AT1G77190	pre-tRNA
AT2G01370	AT2G01370	DNA-binding storekeeper protein-related transcriptional regulator
AT5G22960	AT5G22960	putative serine carboxypeptidase-like 54
ATMG00890	ORF106D	hypothetical protein
AT1G15340	MBD10	methyl-CPG-binding domain 10
AT3G55780	AT3G55780	glycosyl hydrolase family 17 protein
AT2G33780	AT2G33780	VQ motif-containing protein
AT1G31690	AT1G31690	putative copper amine oxidase
AT1G79970	AT1G79970	uncharacterized protein
AT4G22217	AT4G22217	defensin-like protein 100
AT4G04720	CPK21	calcium-dependent protein kinase 21
AT3G28855	AT3G28855	transposable element gene
AT1G51290	AT1G51290	putative F-box only protein 10
AT4G09780	AT4G09780	TRAF-like family protein
AT4G39890	AtRABH1c	Ras-related protein RABH1C
ATMG01250	ORF102	RNA-directed DNA polymerase (reverse transcriptase)
AT3G30420	AT3G30420	transposable element gene
AT2G17490	AT2G17490	transposable element gene
AT1G07150	MAPKKK13	mitogen-activated protein kinase kinase kinase 13
AT3G47270	AT3G47270	transposable element gene
AT5G09800	AT5G09800	U-box domain-containing protein 28
AT1G80320	AT1G80320	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein
AT3G14710	AT3G14710	RNI-like protein
AT4G11410	AT4G11410	Rossmann-fold NAD(P)-binding domain-containing protein
AT4G30890	UBP24	ubiquitin carboxyl-terminal hydrolase 24
AT1G80133	AT1G80133	epidermal patterning factor-like protein 8
AT3G01890	AT3G01890	SWI/SNF-related matrix-associated actin-dependent regulator of
AT1G62870	AT1G62870	uncharacterized protein
AT1G56090	AT1G56090	tetratricopeptide repeat-containing protein
AT4G12430	TPPF	haloacid dehalogenase-like hydrolase domain-containing protein
AT3G30465	AT3G30465	transposable element gene
AT1G68690	AT1G68690	protein kinase-like protein
AT1G53633	AT1G53633	uncharacterized protein
AT5G14360	AT5G14360	ubiquitin family protein
AT4G01840	ATKCO5	putative calcium-activated outward-rectifying potassium channel 5
AT5G38393	AT5G38393	pseudogene
AT3G42810	AT3G42810
AT2G35590	AT2G35590	pseudogene
AT3G32950	AT3G32950	transposable element gene
AT1G29950	AT1G29950	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G13285	AT4G13285	Pseudogene of ATCG00420
AT5G43150	AT5G43150	uncharacterized protein
AT3G54150	AT3G54150	S-adenosyl-L-methionine-dependent methyltransferase-like protein
AT5G01500	TAAC	thylakoid ADP,ATP carrier protein
AT3G30775	ATPOX	proline dehydrogenase 1
AT1G07580	AT1G07580	pre-tRNA
AT1G76135	MIR394B	MIR394B miRNA
AT4G00895	AT4G00895	ATPase, F1 complex, OSCP/delta subunit protein
AT1G58400	AT1G58400	CC-NBS-LRR class disease resistance protein
AT2G18245	AT2G18245	alpha/beta-hydrolase domain-containing protein
AT5G21130	AT5G21130	late embryogenesis abundant hydroxyproline-rich glycoprotein
AT2G33090	AT2G33090	Transcription elongation factor (TFIIS) family protein
AT1G30940	AT1G30940	pseudogene
AT5G28510	BGLU24	beta glucosidase 24
AT5G54530	AT5G54530	uncharacterized protein
AT3G25530	GHBDH	glyoxylate reductase 1
AT2G38570	AT2G38570	uncharacterized protein
AT1G22403	AT1G22403
AT1G56770	AT1G56770	pre-tRNA
AT3G25014	AT3G25014	uncharacterized protein
AT4G08860	AT4G08860
ATMG00030	ORF107A	hypothetical protein
ATMG00560	RPL2	Nucleic acid-binding, OB-fold-like protein
